,project,dependencyProblems,nonDependencyProblems,cranDependencies,nonCranDependencies,createdAtMillis,descriptionChurn,sourceContributors,issueContributors,PRContributors,forksCount,watchersCount,starsCount,isCRAN,sourceLOC,soureceFiles,commentsCount,downstreamProjects,upstreamContributions,upstreamContributionsFraction,upstreamIssueContributions,upstreamIssueContributionsFraction,upstreamAllContributions,upstreamAllContributionsFraction,uniqueUsersAll,averageUpstreamVersion,averageUpstreamReleases,averageUpstreamAge
2279,melff_memisc,1,6,9,5,1422062515000,75,1,8,8,1,5,5,True,10165,81,448,188.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8.25,2.9764641182977174,2945.714285714286
2282,ohi-science_ohicore,91,81,22,3,1381183300000,93,5,12,12,7,4,4,False,2971,40,1962,16.0,0.0,0.0,3.0,0.017857142857142856,3.0,0.015306122448979591,12,1.9,3.4393856287220514,2072.55
2289,whitlock_outflank,1,3,2,0,1401850970000,1,2,5,5,2,8,8,False,305,5,377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.0,1.3976953344575604,3923.5
2292,mgborges_mahalanobisdist,2,8,2,0,1436814718000,3,1,2,2,0,0,0,False,24,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,4.003656307129798,547.0
2293,robkemp_codemogprofile,0,1,13,2,1422397719000,7,2,1,1,0,0,0,False,1130,22,241,2.0,1.0,0.0625,1.0,0.125,1.0,0.0625,1,1.9166666666666667,2.860254004230136,1979.333333333333
2297,marcodvisser_choosecolor,0,1,0,0,1371810344000,3,1,2,2,0,5,5,False,69,2,112,0.0,,,,,,,2,,,
2298,jakobbossek_cmaesr,3,14,9,1,1408106525000,13,1,2,2,1,1,1,True,489,8,360,1.0,3.0,0.42857142857142855,4.0,0.2857142857142857,4.0,0.2857142857142857,2,2.1666666666666665,3.413221083652683,1666.666666666667
2301,robertzk_rnold,0,2,2,0,1442256406000,2,2,0,1,0,0,0,False,10,1,18,0.0,1.0,0.25,2.0,1.0,2.0,0.5,1,2.0,3.7873624071331586,2007.0
2302,richfitz_storr,3,14,7,0,1429700316000,24,1,6,6,1,15,15,True,1447,20,1168,4.0,0.0,0.0,5.0,0.16666666666666666,5.0,0.16666666666666666,6,1.75,2.3598877151046658,2007.0
2303,henrikbengtsson_aroma.seq,7,28,18,13,1402807585000,243,2,1,1,0,0,0,False,11551,216,9062,2.0,14.0,0.3684210526315789,15.0,0.7894736842105263,15.0,0.3947368421052632,1,2.1111111111111107,3.923744887107908,2424.555555555556
2310,sjmgarnier_viridislite,0,2,2,2,1444966045000,10,2,1,3,1,6,6,True,52,2,93,0.0,1.0,0.25,0.0,0.0,1.0,0.16666666666666666,3,2.5,1.5414377844317442,2919.5
2312,mhils_shortestpath,9,31,9,0,1445265916000,11,2,1,2,0,1,1,False,838,16,482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.7142857142857142,3.4547846868079866,1367.0
2314,shhubhamsharma_google-motion-charts-with-r,2,35,6,3,1434176084000,121,1,1,1,0,0,0,False,1614,26,483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6666666666666667,3.6451665726728617,1824.666666666667
2318,leondutoit_rmeetupdemo,0,2,6,0,1393509852000,8,2,0,2,2,1,1,False,66,4,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.8,2.4063696921487105,1788.0
2319,sba1_mgsa-bioc,3,4,4,7,1384463912000,62,2,3,5,2,2,2,False,737,13,583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.0,1.8976953344575604,3923.5
